"Name","Source","StageInput","Output","Format","Success","Mode","ExitCode","LogPath","Reason"
"bld_citycenter13_am","D:\UnityCode\Earth2\ExternalAssets\EE2_Extracted\graphics\cache\nifcache\bld_citycenter13_am.nif","C:\EE2NoesisWork\input\bld_citycenter13_am.nif","D:\UnityCode\Earth2\Assets\External\EE2Converted\Models\bld_citycenter13_am.fbx","fbx","False","?cmode_nocon","0","D:\UnityCode\Earth2\ExternalAssets\EE2_Converted\logs\bld_citycenter13_am.log","Output extension has set output file type to: | .fbx - Autodesk FBX | Detected file type: Unknown | Nothing was exported!"
"bld_barracks13","D:\UnityCode\Earth2\ExternalAssets\EE2_Extracted\graphics\cache\nifcache\bld_barracks13.nif","C:\EE2NoesisWork\input\bld_barracks13.nif","D:\UnityCode\Earth2\Assets\External\EE2Converted\Models\bld_barracks13.fbx","fbx","False","?cmode_nocon","0","D:\UnityCode\Earth2\ExternalAssets\EE2_Converted\logs\bld_barracks13.log","Output extension has set output file type to: | .fbx - Autodesk FBX | Detected file type: Unknown | Nothing was exported!"
"bld_robotics_factory","D:\UnityCode\Earth2\ExternalAssets\EE2_Extracted\graphics\cache\nifcache\bld_robotics_factory.nif","C:\EE2NoesisWork\input\bld_robotics_factory.nif","D:\UnityCode\Earth2\Assets\External\EE2Converted\Models\bld_robotics_factory.fbx","fbx","False","?cmode_nocon","0","D:\UnityCode\Earth2\ExternalAssets\EE2_Converted\logs\bld_robotics_factory.log","Output extension has set output file type to: | .fbx - Autodesk FBX | Detected file type: Unknown | Nothing was exported!"
"bld_airport13","D:\UnityCode\Earth2\ExternalAssets\EE2_Extracted\graphics\cache\nifcache\bld_airport13.nif","C:\EE2NoesisWork\input\bld_airport13.nif","D:\UnityCode\Earth2\Assets\External\EE2Converted\Models\bld_airport13.fbx","fbx","False","?cmode_nocon","0","D:\UnityCode\Earth2\ExternalAssets\EE2_Converted\logs\bld_airport13.log","Output extension has set output file type to: | .fbx - Autodesk FBX | Detected file type: Unknown | Nothing was exported!"
"lhi13_assaultrifleman_we","D:\UnityCode\Earth2\ExternalAssets\EE2_Extracted\graphics\cache\nifcache\lhi13_assaultrifleman_we.nif","C:\EE2NoesisWork\input\lhi13_assaultrifleman_we.nif","D:\UnityCode\Earth2\Assets\External\EE2Converted\Models\lhi13_assaultrifleman_we.fbx","fbx","False","?cmode_nocon","0","D:\UnityCode\Earth2\ExternalAssets\EE2_Converted\logs\lhi13_assaultrifleman_we.log","Output extension has set output file type to: | .fbx - Autodesk FBX | Detected file type: Unknown | Nothing was exported!"
"lhi13_assaultrifleman_fe","D:\UnityCode\Earth2\ExternalAssets\EE2_Extracted\graphics\cache\nifcache\lhi13_assaultrifleman_fe.nif","C:\EE2NoesisWork\input\lhi13_assaultrifleman_fe.nif","D:\UnityCode\Earth2\Assets\External\EE2Converted\Models\lhi13_assaultrifleman_fe.fbx","fbx","False","?cmode_nocon","0","D:\UnityCode\Earth2\ExternalAssets\EE2_Converted\logs\lhi13_assaultrifleman_fe.log","Output extension has set output file type to: | .fbx - Autodesk FBX | Detected file type: Unknown | Nothing was exported!"
"lhm13_mainbattletank","D:\UnityCode\Earth2\ExternalAssets\EE2_Extracted\graphics\cache\nifcache\lhm13_mainbattletank.nif","C:\EE2NoesisWork\input\lhm13_mainbattletank.nif","D:\UnityCode\Earth2\Assets\External\EE2Converted\Models\lhm13_mainbattletank.fbx","fbx","False","?cmode_nocon","0","D:\UnityCode\Earth2\ExternalAssets\EE2_Converted\logs\lhm13_mainbattletank.log","Output extension has set output file type to: | .fbx - Autodesk FBX | Detected file type: Unknown | Nothing was exported!"
"AF13_JetFighter","D:\UnityCode\Earth2\ExternalAssets\EE2_Extracted\graphics\cache\nifcache\AF13_JetFighter.nif","C:\EE2NoesisWork\input\AF13_JetFighter.nif","D:\UnityCode\Earth2\Assets\External\EE2Converted\Models\AF13_JetFighter.fbx","fbx","False","?cmode_nocon","0","D:\UnityCode\Earth2\ExternalAssets\EE2_Converted\logs\AF13_JetFighter.log","Output extension has set output file type to: | .fbx - Autodesk FBX | Detected file type: Unknown | Nothing was exported!"
